altitude_m,velocity_m_s,gamma_rad,range_rad
0.0,500.0,0.3490658503988659,0.000147487390928835
0.0,500.0,0.3839724354387525,0.0001455233602365037
0.0,500.0,0.4188790204786391,0.0001433820649869717
0.0,500.0,0.4537856055185257,0.00014106611124020113
0.0,500.0,0.4886921905584123,0.00013857832928413312
0.0,500.0,0.5235987755982988,0.0001359217446571595
0.0,500.0,0.5585053606381855,0.00013309960088894057
0.0,500.0,0.5934119456780721,0.0001301153363694921
0.0,500.0,0.6283185307179586,0.00012697258739015742
0.0,500.0,0.6632251157578453,0.00012367518461476633
0.0,500.0,0.6981317007977318,0.00012022714800002803
0.0,500.0,0.7330382858376184,0.0001166326766541921
0.0,500.0,0.767944870877505,0.00011289615175258459
0.0,500.0,0.8028514559173916,0.00010902212162799564
0.0,500.0,0.8377580409572782,0.00010501531377959613
0.0,500.0,0.8726646259971648,0.00010088060380103641
0.0,500.0,0.9075712110370514,9.662303138702892e-05
0.0,500.0,0.9424777960769379,9.2247780397708e-05
0.0,500.0,0.9773843811168246,8.776018615296511e-05
0.0,500.0,1.0122909661567112,8.316570883724157e-05
0.0,500.0,1.0471975511965976,7.84699506383836e-05
0.0,500.0,1.0821041362364843,7.367862239642895e-05
0.0,500.0,1.117010721276371,6.879756874326362e-05
0.0,500.0,1.1519173063162575,6.38327326353515e-05
0.0,500.0,1.1868238913561442,5.8790157292330105e-05
0.0,500.0,1.2217304763960306,5.367598692368545e-05
0.0,500.0,1.2566370614359172,4.849644436004024e-05
0.0,500.0,1.2915436464758039,4.325785536167547e-05
0.0,500.0,1.3264502315156905,3.79665767587109e-05
0.0,500.0,1.361356816555577,3.262906555626929e-05
0.0,500.0,1.3962634015954636,2.7251820305313057e-05
0.0,500.0,1.4311699866353502,2.184138686885576e-05
0.0,500.0,1.4660765716752369,1.640435802285593e-05
0.0,500.0,1.5009831567151235,1.0947365014066116e-05
0.0,500.0,1.53588974175501,5.477002829251775e-06
0.0,1000.0,0.3490658503988659,0.00029495894307836817
0.0,1000.0,0.3839724354387525,0.00029102960545120815
0.0,1000.0,0.4188790204786391,0.00028674581844639603
0.0,1000.0,0.4537856055185257,0.0002821128094062499
0.0,1000.0,0.4886921905584123,0.0002771362299061806
0.0,1000.0,0.5235987755982988,0.0002718221536070061
0.0,1000.0,0.5585053606381855,0.0002661770598959461
0.0,1000.0,0.5934119456780721,0.0002602078317781023
0.0,1000.0,0.6283185307179586,0.0002539217478198482
0.0,1000.0,0.6632251157578453,0.0002473264697254021
0.0,1000.0,0.6981317007977318,0.00024043003695920883
0.0,1000.0,0.7330382858376184,0.0002332408548714571
0.0,1000.0,0.767944870877505,0.00022576768354483508
0.0,1000.0,0.8028514559173916,0.00021801962977253397
0.0,1000.0,0.8377580409572782,0.0002100061315997855
0.0,1000.0,0.8726646259971648,0.00020173695233273025
0.0,1000.0,0.9075712110370514,0.00019322216524374593
0.0,1000.0,0.9424777960769379,0.00018447214075759612
0.0,1000.0,0.9773843811168246,0.000175497536573742
0.0,1000.0,1.0122909661567112,0.00016630928349419693
0.0,1000.0,1.0471975511965976,0.000156918568428444
0.0,1000.0,1.0821041362364843,0.00014733682873529775
0.0,1000.0,1.117010721276371,0.00013757573081606117
0.0,1000.0,1.1519173063162575,0.00012764715995481618
0.0,1000.0,1.1868238913561442,0.00011756320497318727
0.0,1000.0,1.2217304763960306,0.00010733614134301965
0.0,1000.0,1.2566370614359172,9.697842280693441e-05
0.0,1000.0,1.2915436464758039,8.650265513670298e-05
0.0,1000.0,1.3264502315156905,7.592158885584598e-05
0.0,1000.0,1.361356816555577,6.524811662331145e-05
0.0,1000.0,1.3962634015954636,5.449521301759274e-05
0.0,1000.0,1.4311699866353502,4.367598471136889e-05
0.0,1000.0,1.4660765716752369,3.280358899669434e-05
0.0,1000.0,1.5009831567151235,2.18912664447259e-05
0.0,1000.0,1.53588974175501,1.0952282519392459e-05
0.0,1500.0,0.3490658503988659,0.00044241464957490994
0.0,1500.0,0.3839724354387525,0.00043651872879982685
0.0,1500.0,0.4188790204786391,0.00043009125781136596
0.0,1500.0,0.4537856055185257,0.00042314008807876327
0.0,1500.0,0.4886921905584123,0.0004156737064146771
0.0,1500.0,0.5235987755982988,0.00040770122673426386
0.0,1500.0,0.5585053606381855,0.0003992323763760762
0.0,1500.0,0.5934119456780721,0.0003902774867548883
0.0,1500.0,0.6283185307179586,0.0003808474803066943
0.0,1500.0,0.6632251157578453,0.00037095385428488294
0.0,1500.0,0.6981317007977318,0.00036060867087434474
0.0,1500.0,0.7330382858376184,0.00034982454086714983
0.0,1500.0,0.767944870877505,0.00033861460597056745
0.0,1500.0,0.8028514559173916,0.0003269925256811879
0.0,1500.0,0.8377580409572782,0.0003149724598612687
0.0,1500.0,0.8726646259971648,0.0003025690511999693
0.0,1500.0,0.9075712110370514,0.00028979740693876334
0.0,1500.0,0.9424777960769379,0.00027667308303467073
0.0,1500.0,0.9773843811168246,0.0002632120592053976
0.0,1500.0,1.0122909661567112,0.0002494307283744694
0.0,1500.0,1.0471975511965976,0.0002353458680094777
0.0,1500.0,1.0821041362364843,0.000220974624920687
0.0,1500.0,1.117010721276371,0.00020633449564444396
0.0,1500.0,1.1519173063162575,0.00019144329606266103
0.0,1500.0,1.1868238913561442,0.0001763191535251134
0.0,1500.0,1.2217304763960306,0.0001609804749655997
0.0,1500.0,1.2566370614359172,0.00014544592640697095
0.0,1500.0,1.2915436464758039,0.00012973441136506346
0.0,1500.0,1.3264502315156905,0.0001138650507253853
0.0,1500.0,1.361356816555577,9.785715203838394e-05
0.0,1500.0,1.3962634015954636,8.173019452501576e-05
0.0,1500.0,1.4311699866353502,6.55037978790999e-05
0.0,1500.0,1.4660765716752369,4.9197708645349415e-05
0.0,1500.0,1.5009831567151235,3.283175588428044e-05
0.0,1500.0,1.53588974175501,1.6425879217714373e-05
0.0,2000.0,0.3490658503988659,0.0005898545093774186
0.0,2000.0,0.3839724354387525,0.00058199072801405
0.0,2000.0,0.4188790204786391,0.00057341838148164
0.0,2000.0,0.4537856055185257,0.000564147948510879
0.0,2000.0,0.4886921905584123,0.0005541907556125325
0.0,2000.0,0.5235987755982988,0.0005435589635824148
0.0,2000.0,0.5585053606381855,0.0005322655519082926
0.0,2000.0,0.5934119456780721,0.0005203243046021485
0.0,2000.0,0.6283185307179586,0.0005077497891149332
0.0,2000.0,0.6632251157578453,0.0004945573436055491
0.0,2000.0,0.6981317007977318,0.00048076305505175075
0.0,2000.0,0.7330382858376184,0.0004663837387954773
0.0,2000.0,0.767944870877505,0.00045143692200373296
0.0,2000.0,0.8028514559173916,0.00043594081722300444
0.0,2000.0,0.8377580409572782,0.00041991430514345534
0.0,2000.0,0.8726646259971648,0.0004033769078447256
0.0,2000.0,0.9075712110370514,0.0003863487663449231
0.0,2000.0,0.9424777960769379,0.00036885061620775707
0.0,2000.0,0.9773843811168246,0.00035090376273302454
0.0,2000.0,1.0122909661567112,0.0003325300535595164
0.0,2000.0,1.0471975511965976,0.00031375185435647323
0.0,2000.0,1.0821041362364843,0.00029459202000029535
0.0,2000.0,1.117010721276371,0.00027507386647092623
0.0,2000.0,1.1519173063162575,0.00025522114405098346
0.0,2000.0,1.1868238913561442,0.00023505800918576541
0.0,2000.0,1.2217304763960306,0.00021460899157354252
0.0,2000.0,1.2566370614359172,0.00019389896855158325
0.0,2000.0,1.2915436464758039,0.0001729531301026899
0.0,2000.0,1.3264502315156905,0.00015179695901298612
0.0,2000.0,1.361356816555577,0.00013045618226877132
0.0,2000.0,1.3962634015954636,0.00010895675880881207
0.0,2000.0,1.4311699866353502,8.732482987872719e-05
0.0,2000.0,1.4660765716752369,6.558671069664065e-05
0.0,2000.0,1.5009831567151235,4.3768835071703754e-05
0.0,2000.0,1.53588974175501,2.1897736765928327e-05
0.0,2500.0,0.3490658503988659,0.0007372785169264213
0.0,2500.0,0.3839724354387525,0.0007274456011295479
0.0,2500.0,0.4188790204786391,0.0007167271872362082
0.0,2500.0,0.4537856055185257,0.000705136388334004
0.0,2500.0,0.4886921905584123,0.0006926873760639841
0.0,2500.0,0.5235987755982988,0.0006793953638574237
0.0,2500.0,0.5585053606381855,0.0006652765875706545
